ID	DaylightName	StandardName	RawUtcOffset	OffsetSeconds	StandardAbbreviation	Win32Id
0	Universal Daylight Time	Universal Standard Time	00:00:00	0	UTC	
1	Asia/Riyadh88 Daylight Time	Asia/Riyadh88 Standard Time	03:07:04	11224	zzz	
2	Asia/Riyadh89 Daylight Time	Asia/Riyadh89 Standard Time	03:07:04	11224	zzz	
3	Asia/Riyadh87 Daylight Time	Asia/Riyadh87 Standard Time	03:07:04	11224	zzz	
4	Australia/Canberra Daylight Time	Australia/Canberra Standard Time	10:00:00	36000	EST	
5	Pacific/Honolulu Daylight Time	Pacific/Honolulu Standard Time	-10:00:00	-36000	HST	Hawaiian Standard Time
6	Europe/Jersey Daylight Time	Europe/Jersey Standard Time	00:00:00	0	GMT	
7	America/Halifax Daylight Time	America/Halifax Standard Time	-04:00:00	-14400	AST	Atlantic Standard Time
8	Africa/Kigali Daylight Time	Africa/Kigali Standard Time	02:00:00	7200	CAT	
9	Pacific/Tarawa Daylight Time	Pacific/Tarawa Standard Time	12:00:00	43200	GILT	
10	Mexico/BajaSur Daylight Time	Mexico/BajaSur Standard Time	-07:00:00	-25200	MST	
11	Pacific/Tahiti Daylight Time	Pacific/Tahiti Standard Time	-10:00:00	-36000	TAHT	
12	Africa/Abidjan Daylight Time	Africa/Abidjan Standard Time	00:00:00	0	GMT	
13	Australia/Lord_Howe Daylight Time	Australia/Lord_Howe Standard Time	10:30:00	37800	LHST	
14	US/Pacific-New Daylight Time	US/Pacific-New Standard Time	-08:00:00	-28800	PST	
15	America/Porto_Acre Daylight Time	America/Porto_Acre Standard Time	-05:00:00	-18000	ACT	
16	Pacific/Wallis Daylight Time	Pacific/Wallis Standard Time	12:00:00	43200	WFT	
17	Asia/Bangkok Daylight Time	Asia/Bangkok Standard Time	07:00:00	25200	ICT	SE Asia Standard Time
18	Africa/Lusaka Daylight Time	Africa/Lusaka Standard Time	02:00:00	7200	CAT	
19	Africa/Luanda Daylight Time	Africa/Luanda Standard Time	01:00:00	3600	WAT	
20	Asia/Bahrain Daylight Time	Asia/Bahrain Standard Time	03:00:00	10800	AST	
21	Asia/Baghdad Daylight Time	Asia/Baghdad Standard Time	03:00:00	10800	AST	Arabic Standard Time
22	America/Dawson_Creek Daylight Time	America/Dawson_Creek Standard Time	-07:00:00	-25200	PST	
23	America/Anguilla Daylight Time	America/Anguilla Standard Time	-04:00:00	-14400	AST	
24	Africa/Malabo Daylight Time	Africa/Malabo Standard Time	01:00:00	3600	WAT	
25	Africa/Maseru Daylight Time	Africa/Maseru Standard Time	02:00:00	7200	SAST	
26	Africa/Maputo Daylight Time	Africa/Maputo Standard Time	02:00:00	7200	CAT	
27	America/Argentina/Mendoza Daylight Time	America/Argentina/Mendoza Standard Time	-03:00:00	-10800	ART	
28	Africa/Lubumbashi Daylight Time	Africa/Lubumbashi Standard Time	02:00:00	7200	CAT	
29	America/Araguaina Daylight Time	America/Araguaina Standard Time	-03:00:00	-10800	BRT	
30	Atlantic/St_Helena Daylight Time	Atlantic/St_Helena Standard Time	00:00:00	0	GMT	
31	Africa/Niamey Daylight Time	Africa/Niamey Standard Time	01:00:00	3600	WAT	
32	America/Monterrey Daylight Time	America/Monterrey Standard Time	-06:00:00	-21600	CST	
33	Europe/Athens Daylight Time	Europe/Athens Standard Time	02:00:00	7200	EET	
34	Canada/Saskatchewan Daylight Time	Canada/Saskatchewan Standard Time	-06:00:00	-21600	MST	
35	Pacific/Rarotonga Daylight Time	Pacific/Rarotonga Standard Time	-10:00:00	-36000	CKT	
36	Antarctica/Rothera Daylight Time	Antarctica/Rothera Standard Time	-03:00:00	-10800	ROTT	
37	Europe/Copenhagen Daylight Time	Europe/Copenhagen Standard Time	01:00:00	3600	CET	
38	Portugal Daylight Time	Portugal Standard Time	00:00:00	0	WET	
39	Pacific/Fakaofo Daylight Time	Pacific/Fakaofo Standard Time	13:00:00	46800	TKT	
40	America/North_Dakota/Center Daylight Time	America/North_Dakota/Center Standard Time	-06:00:00	-21600	CST	
41	Asia/Kuching Daylight Time	Asia/Kuching Standard Time	08:00:00	28800	BORT	
42	Africa/Asmera Daylight Time	Africa/Asmera Standard Time	03:00:00	10800	EAT	
43	Africa/Asmara Daylight Time	Africa/Asmara Standard Time	03:00:00	10800	EAT	
44	Asia/Samarkand Daylight Time	Asia/Samarkand Standard Time	05:00:00	18000	SAMT	
45	Africa/Bissau Daylight Time	Africa/Bissau Standard Time	00:00:00	0	GMT	
46	America/Goose_Bay Daylight Time	America/Goose_Bay Standard Time	-04:00:00	-14400	AST	
47	America/Guyana Daylight Time	America/Guyana Standard Time	-04:00:00	-14400	GYT	
48	Africa/Bangui Daylight Time	Africa/Bangui Standard Time	01:00:00	3600	WAT	
49	Africa/Banjul Daylight Time	Africa/Banjul Standard Time	00:00:00	0	GMT	
50	Africa/Bamako Daylight Time	Africa/Bamako Standard Time	00:00:00	0	GMT	
51	America/North_Dakota/Beulah Daylight Time	America/North_Dakota/Beulah Standard Time	-06:00:00	-21600	CST	
52	Asia/Tbilisi Daylight Time	Asia/Tbilisi Standard Time	04:00:00	14400	TBIT	Georgian Standard Time
53	Australia/Yancowinna Daylight Time	Australia/Yancowinna Standard Time	09:30:00	34200	CST	
54	America/Managua Daylight Time	America/Managua Standard Time	-06:00:00	-21600	CST	
55	America/Dawson Daylight Time	America/Dawson Standard Time	-08:00:00	-28800	PST	
56	America/Denver Daylight Time	America/Denver Standard Time	-07:00:00	-25200	MST	Mountain Standard Time
57	America/Paramaribo Daylight Time	America/Paramaribo Standard Time	-03:00:00	-10800	PMT	
58	America/Marigot Daylight Time	America/Marigot Standard Time	-04:00:00	-14400	AST	
59	America/St_Lucia Daylight Time	America/St_Lucia Standard Time	-04:00:00	-14400	AST	
60	America/St_Johns Daylight Time	America/St_Johns Standard Time	-03:30:00	-12600	NST	Newfoundland Standard Time
61	America/St_Kitts Daylight Time	America/St_Kitts Standard Time	-04:00:00	-14400	AST	
62	Europe/Berlin Daylight Time	Europe/Berlin Standard Time	01:00:00	3600	CET	W. Europe Standard Time
63	Europe/Bratislava Daylight Time	Europe/Bratislava Standard Time	01:00:00	3600	CET	
64	Europe/Budapest Daylight Time	Europe/Budapest Standard Time	01:00:00	3600	CET	Central Europe Standard Time
65	Antarctica/South_Pole Daylight Time	Antarctica/South_Pole Standard Time	12:00:00	43200	NZST	
66	Atlantic/South_Georgia Daylight Time	Atlantic/South_Georgia Standard Time	-02:00:00	-7200	GST	
67	America/Yakutat Daylight Time	America/Yakutat Standard Time	-09:00:00	-32400	AKST	
68	America/Buenos_Aires Daylight Time	America/Buenos_Aires Standard Time	-03:00:00	-10800	ART	Argentina Standard Time
69	Africa/Douala Daylight Time	Africa/Douala Standard Time	01:00:00	3600	WAT	
70	Africa/Nairobi Daylight Time	Africa/Nairobi Standard Time	03:00:00	10800	EAT	E. Africa Standard Time
71	America/Moncton Daylight Time	America/Moncton Standard Time	-04:00:00	-14400	AST	
72	Atlantic/Azores Daylight Time	Atlantic/Azores Standard Time	-01:00:00	-3600	AZOT	Azores Standard Time
73	America/Cancun Daylight Time	America/Cancun Standard Time	-06:00:00	-21600	CST	
74	America/Cayman Daylight Time	America/Cayman Standard Time	-05:00:00	-18000	EST	
75	Europe/Andorra Daylight Time	Europe/Andorra Standard Time	01:00:00	3600	CET	
