ID	DaylightName	StandardName	RawUtcOffset	DisplayName	SupportsDST
Dateline Standard Time	Dateline Daylight Time	Dateline Standard Time	-12:00:00	(UTC-12:00) International Date Line West	False	
UTC-11	UTC-11	UTC-11	-11:00:00	(UTC-11:00) Coordinated Universal Time-11	False	
Hawaiian Standard Time	Hawaiian Daylight Time	Hawaiian Standard Time	-10:00:00	(UTC-10:00) Hawaii	False	
Alaskan Standard Time	Alaskan Daylight Time	Alaskan Standard Time	-09:00:00	(UTC-09:00) Alaska	True	
Pacific Standard Time (Mexico)	Pacific Daylight Time (Mexico)	Pacific Standard Time (Mexico)	-08:00:00	(UTC-08:00) Baja California	True	
Pacific Standard Time	Pacific Daylight Time	Pacific Standard Time	-08:00:00	(UTC-08:00) Pacific Time (US & Canada)	True	
US Mountain Standard Time	US Mountain Daylight Time	US Mountain Standard Time	-07:00:00	(UTC-07:00) Arizona	False	
Mountain Standard Time (Mexico)	Mountain Daylight Time (Mexico)	Mountain Standard Time (Mexico)	-07:00:00	(UTC-07:00) Chihuahua, La Paz, Mazatlan	True	
Mountain Standard Time	Mountain Daylight Time	Mountain Standard Time	-07:00:00	(UTC-07:00) Mountain Time (US & Canada)	True	
Central America Standard Time	Central America Daylight Time	Central America Standard Time	-06:00:00	(UTC-06:00) Central America	False	
Central Standard Time	Central Daylight Time	Central Standard Time	-06:00:00	(UTC-06:00) Central Time (US & Canada)	True	
Central Standard Time (Mexico)	Central Daylight Time (Mexico)	Central Standard Time (Mexico)	-06:00:00	(UTC-06:00) Guadalajara, Mexico City, Monterrey	True	
Canada Central Standard Time	Canada Central Daylight Time	Canada Central Standard Time	-06:00:00	(UTC-06:00) Saskatchewan	False	
SA Pacific Standard Time	SA Pacific Daylight Time	SA Pacific Standard Time	-05:00:00	(UTC-05:00) Bogota, Lima, Quito	False	
Eastern Standard Time	Eastern Daylight Time	Eastern Standard Time	-05:00:00	(UTC-05:00) Eastern Time (US & Canada)	True	
US Eastern Standard Time	US Eastern Daylight Time	US Eastern Standard Time	-05:00:00	(UTC-05:00) Indiana (East)	True	
Venezuela Standard Time	Venezuela Daylight Time	Venezuela Standard Time	-04:30:00	(UTC-04:30) Caracas	False	
Paraguay Standard Time	Paraguay Daylight Time	Paraguay Standard Time	-04:00:00	(UTC-04:00) Asuncion	True	
Atlantic Standard Time	Atlantic Daylight Time	Atlantic Standard Time	-04:00:00	(UTC-04:00) Atlantic Time (Canada)	True	
Central Brazilian Standard Time	Central Brazilian Daylight Time	Central Brazilian Standard Time	-04:00:00	(UTC-04:00) Cuiaba	True	
SA Western Standard Time	SA Western Daylight Time	SA Western Standard Time	-04:00:00	(UTC-04:00) Georgetown, La Paz, Manaus, San Juan	False	
Pacific SA Standard Time	Pacific SA Daylight Time	Pacific SA Standard Time	-04:00:00	(UTC-04:00) Santiago	True	
Newfoundland Standard Time	Newfoundland Daylight Time	Newfoundland Standard Time	-03:30:00	(UTC-03:30) Newfoundland	True	
E. South America Standard Time	E. South America Daylight Time	E. South America Standard Time	-03:00:00	(UTC-03:00) Brasilia	True	
Argentina Standard Time	Argentina Daylight Time	Argentina Standard Time	-03:00:00	(UTC-03:00) Buenos Aires	True	
